기준월,구분,부문,리스크등급,핵심진단,근거지표,대응옵션
2026-08,부문분석,PF금리,높음,회사채(BBB-) 금리가 10.258%로 전년동월 대비 1.506%p 상승하며 임계치인 +0.5%p를 초과했습니다. 국고채(3년) 또한 3.742%로 전년동월비 1.315%p 상승하여 2029년 PF 대출 실행 시 금융비용 부담이 크게 늘어날 위험이 있습니다.,"회사채(3년, BBB-) 10.258%(전년동월비 +1.506%p), 국고채(3년) 3.742%(전년동월비 +1.315%p), 회사채(3년, AA-) 4.462%(전년동월비 +1.548%p)",금융약정 시 금리상한(Cap) 옵션 설정 및 공공지분 보강을 통한 조달금리 절감 추진
2026-08,부문분석,공사비,높음,토목건설 공사비지수가 전년동월 대비 7.55% 상승한 143.3을 기록하고 건설 총지수도 5.07% 상승하여 경보 임계치(+5%)를 초과했습니다. 2029년 1월 토목건설 지수 전망치가 158.306까지 상승할 것으로 예측되어 사업비 증액 리스크가 매우 높습니다.,"토목건설 공사비지수 143.3(전년동월비 +7.55%), 건설공사비지수 총지수 137.67(전년동월비 +5.07%), 2029년 1월 토목 지수 전망 158.306",민간참여자 공모 조건에 물가변동에 따른 공사비 증액 제한 조항 반영
2026-08,부문분석,보상비,보통,의왕시 지가변동률은 0.245%로 안정적이나 소비자물가지수가 119.99로 전년동월 대비 3.16% 상승하여 경보 상태입니다. 의왕시 주거지역 거래면적이 전년동월 대비 73.91% 급증하여 2029년 보상 시점 감정평가액 상승 압력으로 작용할 수 있습니다.,"소비자물가지수 119.99(전년동월비 +3.16%), 의왕시 지가변동률 0.245%(전년동월비 +0.025%p), 의왕시 주거지역 거래면적 전년동월비 +73.91%",토지 보상전 사전 실태조사 실시 및 보상계획 수립 시기 최적화
2026-08,종합요약,1,,"2026년 8월 기준 회사채(BBB-, 3년) 금리는 10.258%로 전년동월 대비 1.506%p 상승하며 경보 임계치(+0.5%p)를 크게 초과했습니다.",,
2026-08,종합요약,2,,공사비 부문에서는 토목건설 공사비지수가 전년동월비 7.55% 상승한 143.3을 기록하고 건설 총지수도 5.07% 상승한 137.67로 경보 기준인 5%를 넘어섰습니다.,,
2026-08,종합요약,3,,보상비 관련 소비자물가지수는 119.99로 전년동월 대비 3.16% 상승하여 보상비 경보 임계치인 3%p를 상회하는 상승세를 보였습니다.,,
2026-08,종합요약,4,,의왕시 지가변동률은 0.245%로 정상 범위이나 주거지역 토지거래 면적이 전년동월 대비 73.91% 증가하여 2029년 보상비 부담 가중이 우려됩니다.,,
2026-08,종합요약,5,,공공기관은 2027년 1월 PFV 설립 및 2029년 1월 PF 대출 실행에 대비해 금리 캡 도입과 단가슬라이딩제 제한 등 재무 리스크 관리 방안을 수립해야 합니다.,,
2026-08,부문분석,공사비,높음,"토목건설 공사비지수가 전년 동월 대비 7.55% 상승한 143.3을 기록하고, 전체 건설공사비지수도 5.07% 상승하여 경보 임계치(+5%)를 초과했습니다. 2029년 PF대출 및 보상 시점의 토목건설 지수 전망치가 158.306에 달해 사업비 증액 압력이 매우 거셉니다.","토목건설 공사비지수 143.3(전년동월비 +7.55%), 건설 공사비지수 137.67(+5.07%), 건물건설 공사비지수 135.46(+4.08%), 시중노임단가 268,486원(+1.59%)",민간참여자 공모 시 물가변동 배제특약 검토 및 VE(가치공학)를 통한 토목/건축 설계 최적화 추진
2026-08,부문분석,보상비,보통,소비자물가지수가 전년 동월 대비 3.16% 상승한 119.99를 기록하고 의왕시 주거지역 토지거래 필지수가 164.41% 급증하여 보상비 상승 압력이 관측됩니다. 다만 의왕시 지가변동률은 0.245%(전년동월비 +0.025%p)로 안정세를 유지하고 있어 급격한 지가 상승 리스크는 제한적입니다.,"소비자물가지수 119.99(전년동월비 +3.16%), 의왕시 지가변동률 0.245%(+0.025%p), 의왕시 주거지역 토지거래 필지수 1,211필지(+164.41%)",2029년 보상 착수 전 토지거래 동향 지속 모니터링 및 보상계획 조기 수립을 통한 감정평가 불확실성 차단
