대분류,지표명,항목,단위,출처,최신월,최신값,전년동월비,전년동월비단위,기준연도평균(2024),2024대비,전망_2027-01(PFV설립),전망_2029-01(PF·보상),경보상태
PF금리,CD(91일) 수익률,CD(91일),%,ECOS,2026-07,2.91,0.397,%p,3.55,-0.641,2.91,2.91,주의
PF금리,국고채(3년) 수익률,국고채(3년),%,ECOS,2026-07,3.831,1.366,%p,3.11,0.723,3.831,3.831,경보
PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",%,ECOS,2026-07,4.524,1.567,%p,3.68,0.847,4.524,4.524,경보
PF금리,"회사채(3년, BBB-) 수익률","회사채(3년, BBB-)",%,ECOS,2026-07,10.331,1.547,%p,9.76,0.571,10.331,10.331,경보
공사비,건설공사비지수(총지수),건물건설 및 건축보수 / 건설공사비지수,2020=100,KOSIS,2026-05,135.46,4.08,%,129.32,4.75,134.775,139.738,주의
공사비,건설공사비지수(총지수),건설 / 건설공사비지수,2020=100,KOSIS,2026-05,137.67,5.07,%,130.08,5.83,136.862,143.029,경보
공사비,건설공사비지수(총지수),건축보수 / 건설공사비지수,2020=100,KOSIS,2026-05,135.58,4.52,%,128.76,5.3,138.467,150.574,주의
공사비,건설공사비지수(총지수),교통시설건설 / 건설공사비지수,2020=100,KOSIS,2026-05,141.57,6.53,%,132.81,6.59,137.923,143.112,경보
공사비,건설공사비지수(총지수),기타건설 / 건설공사비지수,2020=100,KOSIS,2026-05,147.88,9.23,%,133.26,10.97,157.317,186.782,경보
공사비,건설공사비지수(총지수),농림수산토목 / 건설공사비지수,2020=100,KOSIS,2026-05,139.73,4.75,%,132.39,5.54,139.293,145.566,주의
공사비,건설공사비지수(총지수),도로시설 / 건설공사비지수,2020=100,KOSIS,2026-05,144.93,7.58,%,134.76,7.54,140.012,145.472,경보
공사비,건설공사비지수(총지수),도시토목 / 건설공사비지수,2020=100,KOSIS,2026-05,144.26,8.35,%,132.72,8.7,138.941,145.211,경보
공사비,건설공사비지수(총지수),발전소시설 / 건설공사비지수,2020=100,KOSIS,2026-05,159.02,14.07,%,135.55,17.31,161.354,183.791,경보
공사비,건설공사비지수(총지수),비주거용건물 / 건설공사비지수,2020=100,KOSIS,2026-05,136.18,4.3,%,129.68,5.01,138.905,150.56,주의
공사비,건설공사비지수(총지수),산업시설건설 / 건설공사비지수,2020=100,KOSIS,2026-05,145.58,8.59,%,131.73,10.51,146.773,159.936,경보
공사비,건설공사비지수(총지수),산업플랜트 / 건설공사비지수,2020=100,KOSIS,2026-05,133.64,3.6,%,127.97,4.43,133.9,139.221,주의
공사비,건설공사비지수(총지수),상하수도시설 / 건설공사비지수,2020=100,KOSIS,2026-05,131.96,3.11,%,127.54,3.47,131.408,135.177,주의
공사비,건설공사비지수(총지수),일반토목시설건설 / 건설공사비지수,2020=100,KOSIS,2026-05,138.99,6.07,%,130.58,6.44,136.109,141.54,경보
공사비,건설공사비지수(총지수),주거용건물 / 건설공사비지수,2020=100,KOSIS,2026-05,134.64,3.71,%,129.06,4.32,136.934,146.939,주의
공사비,건설공사비지수(총지수),철도시설 / 건설공사비지수,2020=100,KOSIS,2026-05,134.46,4.06,%,128.88,4.33,133.377,137.684,주의
공사비,건설공사비지수(총지수),토목건설 / 건설공사비지수,2020=100,KOSIS,2026-05,143.3,7.55,%,132.0,8.56,142.161,151.408,경보
공사비,건설공사비지수(총지수),하천사방 / 건설공사비지수,2020=100,KOSIS,2026-05,134.83,5.2,%,127.67,5.61,133.963,139.957,경보
공사비,건설공사비지수(총지수),항만시설 / 건설공사비지수,2020=100,KOSIS,2026-05,135.79,5.26,%,128.76,5.46,134.715,140.496,경보
공사비,건설공사비지수(총지수),환경정화시설 / 건설공사비지수,2020=100,KOSIS,2026-05,137.74,3.42,%,131.99,4.36,137.673,142.734,주의
공사비,직종별 시중노임단가,광전자직종 / 평균 임금,원/일,KOSIS,2026-01,436932.0,1.61,%,422347.5,3.45,475833.764,516690.144,정상
공사비,직종별 시중노임단가,기타직종 / 평균 임금,원/일,KOSIS,2026-01,278141.0,2.17,%,267231.5,4.08,299655.032,319998.124,정상
공사비,직종별 시중노임단가,문화재직종 / 평균 임금,원/일,KOSIS,2026-01,322814.0,0.2,%,321421.0,0.43,350725.916,376847.093,정상
공사비,직종별 시중노임단가,원자력직종 / 평균 임금,원/일,KOSIS,2026-01,238615.0,1.6,%,235194.5,1.45,245681.37,251575.058,정상
공사비,직종별 시중노임단가,일반공사직종 / 평균 임금,원/일,KOSIS,2026-01,268486.0,1.59,%,260213.0,3.18,290702.987,313865.748,정상
공사비,직종별 시중노임단가,전체직종 / 평균 임금,원/일,KOSIS,2026-01,279988.0,1.44,%,272537.5,2.73,303610.29,327217.278,정상
보상비,소비자물가지수(총지수),총지수,2020=100,ECOS,2026-06,119.99,3.16,%,114.18,5.09,121.14,126.884,경보
