통계표코드,통계표명,항목코드,항목명,주기,단위
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",D,연%
817Y002,1.3.2.1. 시장금리(일별),010102000,"콜금리(1일, 중개회사거래)",D,연%
817Y002,1.3.2.1. 시장금리(일별),010200001,국고채(5년),D,연%
817Y002,1.3.2.1. 시장금리(일별),010260000,산금채(1년),D,연%
817Y002,1.3.2.1. 시장금리(일별),010150000,KORIBOR(3개월),D,연%
817Y002,1.3.2.1. 시장금리(일별),010151000,KORIBOR(6개월),D,연%
817Y002,1.3.2.1. 시장금리(일별),010152000,KORIBOR(12개월),D,연%
817Y002,1.3.2.1. 시장금리(일별),010190000,국고채(1년),D,연%
817Y002,1.3.2.1. 시장금리(일별),010210000,국고채(10년),D,연%
817Y002,1.3.2.1. 시장금리(일별),010220000,국고채(20년),D,연%
817Y002,1.3.2.1. 시장금리(일별),010230000,국고채(30년),D,연%
817Y002,1.3.2.1. 시장금리(일별),010195000,국고채(2년),D,연%
817Y002,1.3.2.1. 시장금리(일별),010200000,국고채(3년),D,연%
817Y002,1.3.2.1. 시장금리(일별),010300000,"회사채(3년, AA-)",D,연%
817Y002,1.3.2.1. 시장금리(일별),010310000,"회사채(3년, AA-, 민평)",D,연%
817Y002,1.3.2.1. 시장금리(일별),010320000,"회사채(3년, BBB-)",D,연%
817Y002,1.3.2.1. 시장금리(일별),010400002,통안증권(2년),D,연%
817Y002,1.3.2.1. 시장금리(일별),010501000,MMF(7일),D,연%
817Y002,1.3.2.1. 시장금리(일별),010502000,CD(91일),D,연%
817Y002,1.3.2.1. 시장금리(일별),010503000,CP(91일),D,연%
817Y002,1.3.2.1. 시장금리(일별),010503500,국민주택채권1종(5년),D,연%
817Y002,1.3.2.1. 시장금리(일별),010504000,CMA(수시형),D,연%
817Y002,1.3.2.1. 시장금리(일별),010400000,통안증권(91일),D,연%
817Y002,1.3.2.1. 시장금리(일별),010103000,"콜금리(1일, 은행증권금융차입)",D,연%
817Y002,1.3.2.1. 시장금리(일별),010400001,통안증권(1년),D,연%
817Y002,1.3.2.1. 시장금리(일별),010240000,국고채(50년),D,연%
817Y002,1.3.2.1. 시장금리(일별),010901000,KOFR(공시RFR),D,연%
404Y015,4.1.1.2. 생산자물가지수(특수분류),*AA,총지수,A,2020=100
404Y015,4.1.1.2. 생산자물가지수(특수분류),*AA,총지수,M,2020=100
404Y015,4.1.1.2. 생산자물가지수(특수분류),*AA,총지수,Q,2020=100
404Y015,4.1.1.2. 생산자물가지수(특수분류),S110AA,식료품,A,2020=100
404Y015,4.1.1.2. 생산자물가지수(특수분류),S110AA,식료품,M,2020=100
404Y015,4.1.1.2. 생산자물가지수(특수분류),S110AA,식료품,Q,2020=100
404Y015,4.1.1.2. 생산자물가지수(특수분류),S120AA,식료품이외,A,2020=100
404Y015,4.1.1.2. 생산자물가지수(특수분류),S120AA,식료품이외,M,2020=100
404Y015,4.1.1.2. 생산자물가지수(특수분류),S120AA,식료품이외,Q,2020=100
404Y015,4.1.1.2. 생산자물가지수(특수분류),S210AA,신선식품,A,2020=100
404Y015,4.1.1.2. 생산자물가지수(특수분류),S210AA,신선식품,M,2020=100
404Y015,4.1.1.2. 생산자물가지수(특수분류),S210AA,신선식품,Q,2020=100
404Y015,4.1.1.2. 생산자물가지수(특수분류),S220AA,신선식품이외,A,2020=100
404Y015,4.1.1.2. 생산자물가지수(특수분류),S220AA,신선식품이외,M,2020=100
404Y015,4.1.1.2. 생산자물가지수(특수분류),S220AA,신선식품이외,Q,2020=100
404Y015,4.1.1.2. 생산자물가지수(특수분류),S310AA,에너지,A,2020=100
404Y015,4.1.1.2. 생산자물가지수(특수분류),S310AA,에너지,M,2020=100
404Y015,4.1.1.2. 생산자물가지수(특수분류),S310AA,에너지,Q,2020=100
404Y015,4.1.1.2. 생산자물가지수(특수분류),S320AA,에너지이외,A,2020=100
404Y015,4.1.1.2. 생산자물가지수(특수분류),S320AA,에너지이외,M,2020=100
404Y015,4.1.1.2. 생산자물가지수(특수분류),S320AA,에너지이외,Q,2020=100
404Y015,4.1.1.2. 생산자물가지수(특수분류),S410AA,IT,A,2020=100
404Y015,4.1.1.2. 생산자물가지수(특수분류),S410AA,IT,M,2020=100
404Y015,4.1.1.2. 생산자물가지수(특수분류),S410AA,IT,Q,2020=100
404Y015,4.1.1.2. 생산자물가지수(특수분류),S420AA,IT이외,A,2020=100
404Y015,4.1.1.2. 생산자물가지수(특수분류),S420AA,IT이외,M,2020=100
404Y015,4.1.1.2. 생산자물가지수(특수분류),S420AA,IT이외,Q,2020=100
404Y015,4.1.1.2. 생산자물가지수(특수분류),S520AA,식료품에너지이외,A,2020=100
404Y015,4.1.1.2. 생산자물가지수(특수분류),S520AA,식료품에너지이외,M,2020=100
404Y015,4.1.1.2. 생산자물가지수(특수분류),S520AA,식료품에너지이외,Q,2020=100
404Y015,4.1.1.2. 생산자물가지수(특수분류),S620AA,신선식품에너지이외,A,2020=100
404Y015,4.1.1.2. 생산자물가지수(특수분류),S620AA,신선식품에너지이외,M,2020=100
404Y015,4.1.1.2. 생산자물가지수(특수분류),S620AA,신선식품에너지이외,Q,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),*AA,총지수,A,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),*AA,총지수,M,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),*AA,총지수,Q,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),101111AA,곡류,A,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),101111AA,곡류,M,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),101111AA,곡류,Q,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),101113AA,콩류,A,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),101113AA,콩류,M,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),101113AA,콩류,Q,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),101114AA,감자류,A,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),101114AA,감자류,M,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),101114AA,감자류,Q,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),10111AA,곡물및식량작물,A,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),10111AA,곡물및식량작물,M,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),10111AA,곡물및식량작물,Q,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),101121AA,채소,A,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),101121AA,채소,M,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),101121AA,채소,Q,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),101122AA,과실,A,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),101122AA,과실,M,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),101122AA,과실,Q,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),10112AA,채소및과실,A,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),10112AA,채소및과실,M,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),10112AA,채소및과실,Q,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),101131AA,화훼작물,A,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),101131AA,화훼작물,M,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),101131AA,화훼작물,Q,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),101132AA,약용작물,A,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),101132AA,약용작물,M,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),101132AA,약용작물,Q,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),101133AA,잎담배,A,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),101133AA,잎담배,M,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),101133AA,잎담배,Q,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),101135AA,기타식용작물,A,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),101135AA,기타식용작물,M,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),101135AA,기타식용작물,Q,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),10113AA,기타작물,A,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),10113AA,기타작물,M,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),10113AA,기타작물,Q,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),1011AA,농산물,A,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),1011AA,농산물,M,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),1011AA,농산물,Q,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),101211AA,낙농,A,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),101211AA,낙농,M,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),101211AA,낙농,Q,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),101212AA,도축육,A,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),101212AA,도축육,M,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),101212AA,도축육,Q,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),101213AA,가금육,A,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),101213AA,가금육,M,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),101213AA,가금육,Q,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),10121AA,낙농및육류,A,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),10121AA,낙농및육류,M,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),10121AA,낙농및육류,Q,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),101221AA,기타축산,A,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),101221AA,기타축산,M,2020=100
404Y014,4.1.1.1. 생산자물가지수(기본분류),101221AA,기타축산,Q,2020=100
